Time(ms),MotorCurrent,Position,Velocity,Acceleration
13635,7.00,18,0.00,0.00
13645,264.00,21,303.52,30708.30
13657,73.00,30,770.61,39994.27
13668,309.00,43,1106.29,28565.65
13680,73.00,59,1366.35,22208.77
13692,351.00,77,1536.75,14547.98
13704,20.00,97,1704.16,14264.15
13715,46.00,117,1705.90,148.78
13727,242.00,138,1791.04,7261.61
13739,87.00,162,2044.47,21588.07
13751,325.00,186,2042.73,-148.11
13762,1.00,210,2043.25,44.42
13774,21.00,236,2212.77,14427.00
13786,204.00,264,2377.31,13970.77
13798,189.00,56,-17514.31,-1674943.43
13813,281.00,182,8035.20,1629329.53
13825,124.00,215,2765.44,-441612.46
13837,169.00,239,2017.99,-62847.61
13849,17.00,266,2265.10,20730.44
13861,253.00,295,2430.44,13856.73
13873,81.00,320,2087.33,-28647.00
13885,177.00,347,2264.15,14827.41
13897,26.00,373,2180.66,-7002.58
13915,65.00,410,2072.13,-6077.88
13927,251.00,434,2017.82,-4566.04
13938,17.00,454,1681.66,-28265.59
13950,156.00,482,2345.84,55645.36
13962,25.00,512,2512.56,13963.01
13974,223.00,542,2515.51,247.32
13989,281.00,0,-35813.40,-2532635.96
14001,140.00,1,83.51,2997654.08
14013,179.00,12,923.52,70523.78
14025,13.00,40,2355.32,120440.80
14037,230.00,69,2435.54,6737.70
14049,3.00,99,2513.62,6541.54
14061,136.00,128,2434.11,-6673.18
14073,120.00,155,2267.76,-13971.69
14085,175.00,181,2183.22,-7098.95
14097,195.00,208,2266.81,7017.83
14109,61.00,235,2271.01,352.82
14120,247.00,3,-19502.35,-1830309.39
14132,117.00,0,-250.08,1604890.83
14144,178.00,3,250.61,41825.16
14156,60.00,2,-83.83,-28035.46
14171,99.00,2,0.00,5540.60
14183,280.00,1,-84.29,-7104.57
14195,124.00,0,-84.01,23.20
14207,146.00,0,0.00,7095.05
14219,292.00,0,0.00,0.00
14231,1.00,0,0.00,0.00
14242,77.00,2,169.19,14312.70
14254,266.00,1,-84.02,-21274.57
14266,74.00,1,0.00,7054.53
14280,193.00,8,494.66,34956.16
14440,250.00,235,1421.08,5799.57
14691,211.00,548,1247.26,-692.63
14782,2.00,132,-4567.76,-63850.15
14794,85.00,159,2271.39,575347.29
14806,265.00,185,2185.98,-7181.17
14818,61.00,0,-15551.45,-1491040.85
14833,235.00,2,130.53,1023494.13
14845,38.00,0,-167.35,-24925.22
14857,161.00,2,167.56,28058.84
14869,57.00,2,0.00,-14044.11
14881,208.00,0,-168.39,-14178.05
14893,1.00,2,167.97,28249.02
14905,48.00,0,-169.20,-28525.65
14916,213.00,0,0.00,14317.54
14928,193.00,2,169.81,14417.40
14940,56.00,2,0.00,-14239.67
14952,266.00,1,-83.89,-7037.97
14964,117.00,0,-83.81,7.07
14976,164.00,3,251.57,28124.16
14988,53.00,1,-168.14,-35284.59
15000,253.00,0,-83.83,7067.53
15012,5.00,2,167.95,21144.07
15023,82.00,2,0.00,-14112.62
15039,98.00,2,0.00,0.00
15050,198.00,4,168.44,14185.21
15062,212.00,29,2105.97,163216.01
15074,136.00,51,1851.70,-21401.95
15086,42.00,72,1762.34,-7499.13
15098,320.00,94,1848.74,7260.77
15110,55.00,115,1767.23,-6859.29
15122,68.00,135,1679.68,-7352.51
15134,275.00,156,1768.27,7459.41
15149,111.00,185,1860.29,5902.49
15161,85.00,208,1936.03,6375.49
15173,276.00,233,2098.55,13642.31
15185,0.00,258,2100.31,148.12
15197,86.00,284,2182.12,6866.35
15209,223.00,313,2438.20,21530.25
15224,9.00,52,-17158.64,-1288333.40
15236,94.00,185,10696.48,2240237.46
15248,205.00,204,1589.43,-761841.33
15260,171.00,234,2512.77,77338.73
15272,191.00,259,2096.79,-34889.34
15284,75.00,286,2265.10,14120.21
15296,261.00,312,2183.77,-6830.82
15308,88.00,339,2265.29,6839.32
15320,169.00,367,2348.01,6936.49
15332,6.00,392,2101.19,-20744.23
15344,210.00,417,2103.14,163.57
15356,2.00,443,2183.77,6772.64
15367,97.00,462,1598.65,-49231.73
15379,268.00,488,2182.31,48988.82
15391,146.00,1,-40794.10,-3599967.28
15406,129.00,0,-66.64,2714078.56
15418,155.00,2,169.53,20019.89
15430,263.00,1,-84.99,-21632.27
15442,3.00,0,-85.05,-4.92
15453,24.00,0,0.00,7280.92
15465,58.00,0,0.00,0.00
15477,92.00,1,85.52,7313.88
15488,254.00,19,1529.57,122709.93
15500,216.00,48,2461.38,79087.60
15514,98.00,81,2373.42,-6326.53
15526,131.00,111,2543.02,14376.68
15538,271.00,140,2462.01,-6877.56
15550,2.00,169,2460.55,-124.07
15561,57.00,197,2377.92,-7017.16
15573,200.00,224,2297.29,-6860.68
15585,194.00,2,-18773.78,-1781908.68
15600,169.00,3,67.19,1265939.33
15612,179.00,1,-169.19,-19996.72
15623,87.00,0,-84.75,7156.32
15635,130.00,3,254.50,28779.19
15647,267.00,4,84.78,-14388.67
15659,0.00,3,-84.76,-14370.39
15671,86.00,1,-168.99,-7117.04
15682,255.00,1,0.00,14281.27
15694,2.00,3,170.15,14476.33
15706,37.00,2,-85.06,-21707.12
15718,210.00,1,-84.72,28.09
15730,147.00,2,84.88,14396.63
15741,248.00,2,0.00,-7216.67
15753,80.00,0,-170.07,-14461.57
15765,47.00,24,2039.78,187816.05
15777,286.00,48,2039.78,0.00
15791,257.00,75,1811.84,-15295.82
15803,131.00,96,1766.78,-3790.42
