Time (ms), Position
11084, 2205
11084, 1129
11084, 1130
11084, 1130
11084, 1130
11084, 1130
11084, 1131
11086, 1143
11088, 1162
11090, 1179
11092, 1195
11094, 1214
11096, 1238
11098, 1257
11100, 1274
11102, 1291
11104, 1311
11106, 1331
11108, 1348
11110, 1363
11112, 1380
11114, 1400
11116, 1419
11118, 1437
11120, 1453
11122, 1473
11124, 1496
11126, 1515
11128, 1533
11130, 1549
11132, 1570
11134, 1590
11136, 1607
11138, 1622
11140, 1638
11142, 1661
11144, 1680
11146, 1696
11148, 1713
11150, 1733
11152, 1758
11154, 1776
11156, 1793
11158, 1809
11160, 1830
11162, 1851
11164, 1867
11166, 1883
11168, 1900
11170, 1922
11172, 1941
11174, 1958
11176, 1974
11178, 1994
11180, 2019
11182, 2039
11184, 2055
11186, 2072
11188, 2093
11190, 2112
11192, 2127
11194, 2142
11196, 2159
11198, 2181
11200, 2200
11202, 2216
11204, 2233
11206, 2254
11208, 2277
11210, 2295
11212, 2312
11214, 2329
11216, 2351
11218, 2370
11220, 2386
11222, 2401
11224, 2419
11226, 2441
11228, 2459
11230, 2474
11232, 2491
11234, 2512
11236, 2535
11238, 2553
11240, 2568
11242, 2586
11244, 2608
11246, 2627
11248, 2643
11250, 2659
11252, 2677
11254, 2700
11256, 2718
11258, 2733
11260, 2750
11262, 2771
11264, 2794
11266, 2810
11268, 2826
11270, 2844
11272, 2867
11274, 2885
11276, 2901
11278, 2916
11280, 2935
11282, 2958
11284, 2975
11286, 2992
11288, 3009
11290, 3032
11292, 3055
11294, 3073
11296, 3088
11298, 3106
11300, 3128
11302, 3147
11304, 3162
11306, 3177
11308, 3197
11310, 3217
11312, 3235
11314, 3251
11316, 3267
11318, 3289
11320, 3310
11322, 3326
11324, 3342
11326, 3359
11328, 3381
11330, 3399
11332, 3415
11334, 3429
11336, 3447
11338, 3469
11340, 3485
11342, 3501
11344, 3518
11346, 3540
11348, 3560
11350, 3577
11352, 3592
11354, 3610
11356, 3632
11358, 3650
11360, 3666
11362, 3681
11364, 3701
11366, 3721
11368, 3739
11370, 3755
11372, 3772
11374, 3794
11376, 3815
11378, 3832
11380, 3847
11382, 3865
11384, 3886
