Time (ms), Position (count), Velocity (count/s)
10498, 1392, 0.00
10499, 1392, nan
10499, 1392, -0.00
10499, 1392, 66.30
10499, 1392, 0.00
10499, 1392, 0.00
10499, 1392, 0.00
10499, 1392, 0.00
10499, 1392, 0.00
10499, 1392, 0.00
10499, 1392, 0.00
10499, 1392, 0.00
10499, 1392, 0.00
10499, 1392, 0.00
10499, 1392, 0.00
10499, 1392, 0.00
10499, 1392, 0.00
10499, 1392, 0.00
10499, 1392, 0.00
10499, 1392, 0.00
10499, 1392, 0.00
10499, 1392, 0.00
10499, 1392, 0.00
10499, 1392, 0.00
10499, 1392, 0.00
10500, 1392, 0.00
10500, 1392, 0.00
10500, 1392, 0.00
10500, 1392, 0.00
10502, 1392, 0.00
10504, 1392, 0.00
10506, 1392, 0.00
10508, 1392, 0.00
10510, 1392, 0.00
10512, 1392, 0.00
10514, 1392, 0.00
10516, 1392, 0.00
10518, 1392, 0.00
10520, 1392, 0.00
10522, 1392, 0.00
10524, 1392, 0.00
10526, 1392, 0.00
10528, 1392, 0.00
10530, 1392, 0.00
10532, 1392, 0.00
10534, 1392, 0.00
10536, 1392, 0.00
10538, 1392, 0.00
10540, 1392, 0.00
10542, 1392, 0.00
10544, 1392, 0.00
10546, 1392, 0.00
10548, 1392, 0.00
10550, 1392, 0.00
10552, 1392, 0.00
10554, 1392, 0.00
10556, 1392, 0.00
10558, 1392, 0.00
10560, 1392, 0.00
10562, 1392, 0.00
10564, 1392, 0.00
10566, 1392, 0.00
10568, 1392, 0.00
10570, 1392, 0.00
10572, 1392, 0.00
10574, 1392, 0.00
10576, 1392, 0.00
10578, 1392, 0.00
10580, 1392, 0.00
10582, 1392, 0.00
10584, 1392, 0.00
10586, 1392, 0.00
10588, 1392, 0.00
10590, 1392, 0.00
10592, 1392, 0.00
10594, 1392, 0.00
10596, 1392, 0.00
10598, 1392, 0.00
10600, 1392, 0.00
10602, 1392, 0.00
10604, 1392, 0.00
10606, 1392, 0.00
10608, 1392, 0.00
10610, 1392, 0.00
10612, 1392, 0.00
10614, 1392, 0.00
10616, 1392, 0.00
10618, 1392, 0.00
10620, 1392, 0.00
10622, 1392, 0.00
10624, 1392, 0.00
10626, 1392, 0.00
10628, 1392, 0.00
10630, 1392, 0.00
10632, 1392, 0.00
10634, 1392, 0.00
10636, 1392, 0.00
10638, 1392, 0.00
10640, 1392, 0.00
10642, 1392, 0.00
10644, 1392, 0.00
10646, 1392, 0.00
10648, 1392, 0.00
10650, 1392, 0.00
10652, 1392, 0.00
10654, 1392, 0.00
10656, 1392, 0.00
10658, 1392, 0.00
10660, 1392, 0.00
10662, 1392, 0.00
10664, 1392, 0.00
10666, 1392, 0.00
10668, 1392, 0.00
10670, 1392, 0.00
10672, 1392, 0.00
10674, 1392, 0.00
10676, 1392, 0.00
10678, 1392, 0.00
10680, 1392, 0.00
10682, 1392, 0.00
10684, 1392, 0.00
10686, 1392, 0.00
10688, 1392, 0.00
10690, 1392, 0.00
10692, 1392, 0.00
10694, 1392, 0.00
10696, 1392, 0.00
10698, 1392, 0.00
10700, 1392, 0.00
10702, 1392, 0.00
10704, 1392, 0.00
10706, 1392, 0.00
10708, 1392, 0.00
10710, 1392, 0.00
10712, 1392, 0.00
10714, 1392, 0.00
10716, 1392, 0.00
10718, 1392, 0.00
10720, 1392, 0.00
10722, 1392, 0.00
10724, 1392, 0.00
10726, 1392, 0.00
10728, 1392, 0.00
10730, 1392, 0.00
10732, 1392, 0.00
10734, 1392, 0.00
10736, 1392, 0.00
10738, 1392, 0.00
10740, 1392, 0.00
10742, 1392, 0.00
10744, 1392, 0.00
10746, 1392, 0.00
10748, 1392, 0.00
10750, 1392, 0.00
10752, 1392, 0.00
10754, 1392, 0.00
10756, 1392, 0.00
10758, 1392, 0.00
