Time (ms), Position (count), Velocity (count/s), Acceleration (count/s^2)
24364, 3628, 0.00, 0.00
24364, 3628, nan, nan
24364, 3628, 0.00, -0.00
24364, 3628, -9.60, 0.00
24364, 3628, 0.00, 0.00
24364, 3628, 0.00, 0.00
24364, 3628, 0.00, 0.00
24364, 3628, 0.00, 0.00
24364, 3628, 0.00, 0.00
24364, 3628, 0.00, 0.00
24364, 3628, 0.00, 0.00
24364, 3628, 0.00, 0.00
24364, 3628, 0.00, 0.00
24364, 3628, 0.00, 0.00
24364, 3628, 0.00, 0.00
24364, 3628, 0.00, 0.00
24364, 3628, 0.00, 0.00
24364, 3628, 0.00, 0.00
24364, 3628, 0.00, 0.00
24365, 3628, 0.00, 0.00
24365, 3628, 0.00, 0.00
24365, 3628, 0.00, 0.00
24365, 3628, 0.00, 0.00
24365, 3628, 0.00, 0.00
24365, 3628, 0.00, 0.00
24365, 3628, 0.00, 0.00
24365, 3628, 0.00, 0.00
24365, 3628, 0.00, 0.00
24366, 3628, 0.00, 0.00
24368, 3628, 0.00, 0.00
24370, 3628, 0.00, 0.00
24372, 3628, 0.00, 0.00
24374, 3628, 0.00, 0.00
24376, 3628, 0.00, 0.00
24378, 3628, 0.00, 0.00
24380, 3628, 0.00, 0.00
24382, 3628, 0.00, 0.00
24384, 3628, 0.00, 0.00
24386, 3628, 0.00, 0.00
24388, 3628, 0.00, 0.00
24390, 3628, 0.00, 0.00
24392, 3628, 0.00, 0.00
24394, 3628, 0.00, 0.00
24396, 3628, 0.00, 0.00
24398, 3628, 0.00, 0.00
24400, 3628, 0.00, 0.00
24402, 3628, 0.00, 0.00
24404, 3628, 0.00, 0.00
24406, 3628, 0.00, 0.00
24408, 3628, 0.00, 0.00
24410, 3628, 0.00, 0.00
24412, 3628, 0.00, 0.00
24414, 3628, 0.00, 0.00
24416, 3628, 0.00, 0.00
24418, 3628, 0.00, 0.00
24420, 3628, 0.00, 0.00
24422, 3628, 0.00, 0.00
24424, 3628, 0.00, 0.00
24426, 3628, 0.00, 0.00
24428, 3628, 0.00, 0.00
24430, 3628, 0.00, 0.00
24432, 3628, 0.00, 0.00
24434, 3628, 0.00, 0.00
24436, 3628, 0.00, 0.00
24438, 3628, 0.00, 0.00
24440, 3628, 0.00, 0.00
24442, 3628, 0.00, 0.00
24444, 3628, 0.00, 0.00
24446, 3628, 0.00, 0.00
24448, 3628, 0.00, 0.00
24450, 3628, 0.00, 0.00
24452, 3628, 0.00, 0.00
24454, 3628, 0.00, 0.00
24456, 3628, 0.00, 0.00
24458, 3628, 0.00, 0.00
24460, 3628, 0.00, 0.00
24462, 3628, 0.00, 0.00
24464, 3628, 0.00, 0.00
24466, 3628, 0.00, 0.00
24468, 3628, 0.00, 0.00
24470, 3628, 0.00, 0.00
24472, 3628, 0.00, 0.00
24474, 3628, 0.00, 0.00
24476, 3628, 0.00, 0.00
24478, 3628, 0.00, 0.00
24480, 3628, 0.00, 0.00
24482, 3628, 0.00, 0.00
24484, 3628, 0.00, 0.00
24486, 3628, 0.00, 0.00
24488, 3628, 0.00, 0.00
24490, 3628, 0.00, 0.00
24492, 3628, 0.00, 0.00
24494, 3628, 0.00, 0.00
24496, 3628, 0.00, 0.00
24498, 3628, 0.00, 0.00
24500, 3628, 0.00, 0.00
24502, 3628, 0.00, 0.00
24504, 3628, 0.00, 0.00
24506, 3628, 0.00, 0.00
24508, 3628, 0.00, 0.00
24510, 3628, 0.00, 0.00
24512, 3628, 0.00, 0.00
24514, 3628, 0.00, 0.00
24516, 3628, 0.00, 0.00
24518, 3628, 0.00, 0.00
24520, 3628, 0.00, 0.00
24522, 3628, 0.00, 0.00
24524, 3628, 0.00, 0.00
24526, 3628, 0.00, 0.00
24528, 3628, 0.00, 0.00
24530, 3628, 0.00, 0.00
24532, 3628, 0.00, 0.00
24534, 3628, 0.00, 0.00
24536, 3628, 0.00, 0.00
24538, 3628, 0.00, 0.00
24540, 3628, 0.00, 0.00
24542, 3628, 0.00, 0.00
24544, 3628, 0.00, 0.00
24546, 3628, 0.00, 0.00
24548, 3628, 0.00, 0.00
24550, 3628, 0.00, 0.00
24552, 3628, 0.00, 0.00
24554, 3628, 0.00, 0.00
24556, 3628, 0.00, 0.00
24558, 3628, 0.00, 0.00
24560, 3628, 0.00, 0.00
24562, 3628, 0.00, 0.00
24564, 3628, 0.00, 0.00
24566, 3628, 0.00, 0.00
24568, 3628, 0.00, 0.00
24570, 3628, 0.00, 0.00
24572, 3628, 0.00, 0.00
24574, 3628, 0.00, 0.00
24576, 3628, 0.00, 0.00
24578, 3628, 0.00, 0.00
24580, 3628, 0.00, 0.00
24582, 3628, 0.00, 0.00
24584, 3628, 0.00, 0.00
24586, 3628, 0.00, 0.00
24588, 3628, 0.00, 0.00
24590, 3628, 0.00, 0.00
24592, 3628, 0.00, 0.00
24594, 3628, 0.00, 0.00
24596, 3628, 0.00, 0.00
24598, 3628, 0.00, 0.00
24600, 3628, 0.00, 0.00
24602, 3628, 0.00, 0.00
24604, 3628, 0.00, 0.00
24606, 3628, 0.00, 0.00
24608, 3628, 0.00, 0.00
24610, 3628, 0.00, 0.00
24612, 3628, 0.00, 0.00
24614, 3628, 0.00, 0.00
24616, 3628, 0.00, 0.00
24618, 3628, 0.00, 0.00
24620, 3628, 0.00, 0.00
24622, 3628, 0.00, 0.00
