Time (ms), Position (count), Velocity (count/s), Acceleration (count/s2), Desired Vel, Desired Acc, control signal, motorCurrent (raw)
57678, 589, 0.00, 0.00, 2048, 0, 4096, 23.00
57678, 589, 0.00, 0.00, 2048, 0, 0, 87.00
57681, 589, 0.00, 0.00, 2048, 0, 4096, 24.00
57684, 589, 5.11, 0.00, 2048, 0, 4085, 528.00
57687, 592, 0.00, 0.00, 2048, 0, 4096, 512.00
57690, 606, 250.00, 0.00, 2048, 0, 3596, 477.00
57693, 621, 1416.67, 20833.33, 2048, 0, 1262, 409.00
57696, 638, 2666.67, 117630.06, 2048, 0, -1237, 0.00
57699, 654, 3833.33, 222222.22, 2048, 0, -3570, 565.00
57702, 660, 4000.00, 298611.09, 2048, 0, -3904, 562.00
57705, 664, 3250.00, 215277.80, 2048, 0, -2404, 537.00
57708, 664, 2166.67, 48611.12, 2048, 0, -237, 532.00
57711, 664, 833.33, -138888.86, 2048, 0, 2429, 0.00
57714, 664, 333.33, -263888.91, 2048, 0, 3429, 523.00
57720, 664, 0.00, -243055.56, 2048, 0, 4096, 502.00
57723, 664, 0.00, -166666.67, 2048, 0, 4096, 474.00
57726, 665, 0.00, -55555.56, 2048, 0, 4096, 428.00
57729, 676, 83.33, -13888.89, 2048, 0, 3929, 393.00
57732, 684, 1000.00, 6944.44, 2048, 0, 2096, 330.00
57735, 711, 1666.67, 83333.34, 2048, 0, 762, 312.00
57738, 736, 3833.33, 138888.91, 2048, 0, -3570, 0.00
57744, 560, 5000.00, 312500.00, 2048, 0, -5904, 100.00
57747, 783, -3000.00, 284722.22, 2048, 0, 10096, 0.00
57750, 791, 13333.33, -437500.00, 2048, 0, -22570, 323.00
57756, 806, 11916.67, 743055.56, 2048, 0, -19737, 524.00
57759, 807, 19875.00, 635416.63, 2048, 0, -35654, 515.00
57762, 807, 1375.00, 1965277.75, 2048, 0, 1345, 1.00
57765, 806, 708.33, -937500.00, 2048, 0, 2679, 507.00
57768, 806, 0.00, -934027.75, 2048, 0, 4096, 515.00
57774, 807, -83.33, -1656250.00, 2048, 0, 4262, 453.00
57777, 817, -41.67, -118055.56, 2048, 0, 4179, 394.00
57780, 831, 875.00, -59027.78, 2048, 0, 2346, 368.00
57783, 842, 2041.67, 76388.89, 2048, 0, 12, 338.00
57786, 847, 2916.67, 177083.33, 2048, 0, -1737, 256.00
57789, 884, 2500.00, 246527.78, 2048, 0, -904, 261.00
57792, 867, 4416.67, 135416.67, 2048, 0, -4737, 240.00
57795, 906, 2083.33, 197916.66, 2048, 0, -70, 188.00
57798, 913, 4916.67, -69444.45, 2048, 0, -5737, 321.00
57801, 918, 2416.67, 201388.86, 2048, 0, -737, 278.00
57804, 921, 4250.00, -166666.66, 2048, 0, -4404, 196.00
57810, 923, 1250.00, 180555.53, 2048, 0, 1596, 144.00
57813, 923, 750.00, -180555.55, 2048, 0, 2596, 227.00
57816, 923, 333.33, -13888.91, 2048, 0, 3429, 153.00
57819, 923, 83.33, -201388.89, 2048, 0, 3929, 196.00
57822, 926, 0.00, -97222.23, 2048, 0, 4096, 132.00
57825, 931, 250.00, -62499.99, 2048, 0, 3596, 138.00
57828, 936, 666.67, -6944.45, 2048, 0, 2762, 115.00
57831, 942, 1083.33, 48611.11, 2048, 0, 1929, 67.00
57834, 948, 1333.33, 90277.77, 2048, 0, 1429, 112.00
57837, 955, 1416.67, 90277.77, 2048, 0, 1262, 46.00
57840, 963, 1583.33, 62500.00, 2048, 0, 929, 113.00
57843, 970, 1750.00, 41666.67, 2048, 0, 596, 47.00
57846, 977, 1833.33, 34722.23, 2048, 0, 429, 116.00
57849, 984, 1833.33, 34722.22, 2048, 0, 429, 55.00
57852, 991, 1750.00, 20833.33, 2048, 0, 596, 76.00
57855, 998, 1750.00, 0.00, 2048, 0, 596, 54.00
57858, 1005, 1750.00, -6944.44, 2048, 0, 596, 35.00
