Time (ms), Position (count), Velocity (count/s), Acceleration (count/s2), Desired Vel, Desired Acc, control signal, motorCurrent (raw)
92032, 3699, 1083.33, 6944.44, 2048, 0, 964, 24.00
92032, 3699, 750.93, 6939.86, 2048, 0, 0, 103.00
92032, 3699, 334.27, 6939.86, 2048, 0, 0, 78.00
92032, 3699, 0.93, -4.58, 2048, 0, 0, 66.00
92032, 3699, 0.00, 0.00, 2048, 0, 0, 56.00
92032, 3699, 0.00, 0.00, 2048, 0, 0, 48.00
92032, 3699, 0.00, 0.00, 2048, 0, 0, 40.00
92032, 3699, 0.00, 0.00, 2048, 0, 0, 36.00
92032, 3699, 0.00, 0.00, 2048, 0, 0, 32.00
92033, 3699, 0.00, 0.00, 2048, 0, 2048, 27.00
92033, 3699, 0.00, 0.00, 2048, 0, 0, 106.00
92033, 3699, 0.00, 0.00, 2048, 0, 0, 79.00
92033, 3699, 0.00, 0.00, 2048, 0, 0, 67.00
92033, 3699, 0.00, 0.00, 2048, 0, 0, 57.00
92033, 3699, 0.00, 0.00, 2048, 0, 0, 49.00
92033, 3699, 0.00, 0.00, 2048, 0, 0, 44.00
92034, 3699, 0.00, 0.00, 2048, 0, 2048, 61.00
92034, 3699, 0.00, 0.00, 2048, 0, 0, 129.00
92034, 3699, 0.00, 0.00, 2048, 0, 0, 102.00
92034, 3699, 0.00, 0.00, 2048, 0, 0, 86.00
92037, 3699, 0.00, 0.00, 2048, 0, 2048, 22.00
92040, 3701, 0.00, 0.00, 2048, 0, 2048, 521.00
92043, 3706, 166.67, 0.00, 2048, 0, 1881, 506.00
92046, 3716, 583.33, 13888.89, 2048, 0, 1464, 452.00
92049, 3727, 1416.67, 48611.11, 2048, 0, 631, 413.00
92052, 3745, 2166.67, 118055.55, 2048, 0, -118, 343.00
92055, 3764, 3250.00, 166666.67, 2048, 0, -1202, 497.00
92058, 3778, 4000.00, 222222.22, 2048, 0, -1952, 511.00
92061, 3786, 4250.00, 215277.78, 2048, 0, -2202, 411.00
92064, 3790, 3416.67, 173611.11, 2048, 0, -1368, 403.00
92067, 3792, 2166.67, 13888.90, 2048, 0, -118, 326.00
92070, 3792, 1166.67, -152777.78, 2048, 0, 881, 0.00
92076, 3792, 500.00, -256944.44, 2048, 0, 1548, 270.00
92079, 3795, 166.67, -215277.78, 2048, 0, 1881, 294.00
92082, 3798, 250.00, -138888.88, 2048, 0, 1798, 189.00
92085, 3800, 500.00, -48611.11, 2048, 0, 1548, 256.00
92088, 3814, 666.67, 0.00, 2048, 0, 1381, 141.00
92091, 3824, 1583.33, 41666.67, 2048, 0, 464, 202.00
92094, 3836, 2166.67, 111111.11, 2048, 0, -118, 126.00
92097, 3847, 3000.00, 138888.88, 2048, 0, -952, 460.00
92100, 3852, 2750.00, 194444.44, 2048, 0, -702, 379.00
92103, 3857, 2333.33, 97222.23, 2048, 0, -285, 327.00
92109, 3858, 1750.00, 13888.92, 2048, 0, 298, 101.00
92112, 3858, 875.00, -79861.10, 2048, 0, 1173, 398.00
92115, 3858, 458.33, -131944.44, 2048, 0, 1589, 271.00
92118, 3858, 41.67, -131944.45, 2048, 0, 2006, 319.00
92121, 3858, 0.00, -142361.11, 2048, 0, 2048, 225.00
92124, 3864, 0.00, -72916.66, 2048, 0, 2048, 223.00
92127, 3867, 500.00, -38194.45, 2048, 0, 1548, 189.00
92130, 3880, 750.00, 38194.45, 2048, 0, 1298, 156.00
92133, 3889, 1833.33, 62500.00, 2048, 0, 214, 166.00
92136, 3899, 2083.33, 152777.78, 2048, 0, -35, 83.00
92139, 3910, 2666.67, 131944.47, 2048, 0, -618, 306.00
92142, 3921, 2500.00, 159722.23, 2048, 0, -452, 240.00
92145, 3931, 2666.67, 55555.56, 2048, 0, -618, 234.00
92148, 3936, 2666.67, 48611.11, 2048, 0, -618, 176.00
92151, 3941, 2166.67, 0.00, 2048, 0, -118, 179.00
92154, 3943, 1666.67, -27777.77, 2048, 0, 381, 346.00
92157, 3943, 1000.00, -83333.34, 2048, 0, 1048, 292.00
92163, 3950, 583.33, -138888.89, 2048, 0, 1464, 189.00
92166, 3955, 458.33, -114583.34, 2048, 0, 1589, 255.00
92169, 3965, 708.33, -83333.33, 2048, 0, 1339, 141.00
92172, 3970, 1541.67, -6944.44, 2048, 0, 506, 204.00
92175, 3981, 1666.67, 79861.11, 2048, 0, 381, 107.00
92178, 3992, 2166.67, 100694.45, 2048, 0, -118, 0.00
92181, 3995, 2250.00, 121527.78, 2048, 0, -202, 459.00
92187, 4012, 2083.33, 59027.78, 2048, 0, -35, 510.00
92190, 4012, 1875.00, 41666.68, 2048, 0, 173, 1.00
92193, 4012, 958.33, -17361.13, 2048, 0, 1089, 459.00
92196, 4013, 708.33, -100694.45, 2048, 0, 1339, 359.00
92199, 4020, 83.33, -114583.35, 2048, 0, 1964, 373.00
92202, 4029, 666.67, -149305.56, 2048, 0, 1381, 289.00
92205, 4034, 1416.67, -24305.55, 2048, 0, 631, 278.00
92208, 4050, 1750.00, 59027.78, 2048, 0, 298, 261.00
92214, 4080, 2500.00, 138888.88, 2048, 0, -452, 0.00
92217, 4094, 3000.00, 121527.78, 2048, 0, -952, 526.00
92220, 9, 3750.00, 100694.44, 2048, 0, -1702, 526.00
92223, 18, 3333.33, 135416.67, 2048, 0, -1285, 454.00
92226, 19, 2833.33, 69444.44, 2048, 0, -785, 460.00
92229, 19, 1750.00, -13888.90, 2048, 0, 297, 368.00
92232, 20, 833.33, -166666.66, 2048, 0, 1214, 476.00
92238, 19, 166.67, -208333.31, 2048, 0, 1881, 359.00
92241, 28, 41.67, -194444.44, 2048, 0, 2006, 379.00
92244, 37, 791.67, -114583.34, 2048, 0, 1256, 262.00
92247, 47, 1458.33, 24305.56, 2048, 0, 589, 286.00
92250, 57, 2333.33, 107638.88, 2048, 0, -285, 129.00
92253, 71, 2416.67, 190972.22, 2048, 0, -368, 520.00
92256, 76, 2833.33, 135416.66, 2048, 0, -785, 520.00
92259, 83, 2416.67, 114583.33, 2048, 0, -368, 482.00
92262, 84, 2166.67, 6944.46, 2048, 0, -118, 431.00
92265, 84, 1083.33, -20833.33, 2048, 0, 964, 0.00
92268, 84, 666.67, -145833.31, 2048, 0, 1381, 378.00
92271, 84, 83.33, -145833.34, 2048, 0, 1964, 302.00
92274, 84, 0.00, -173611.09, 2048, 0, 2048, 302.00
92280, 86, 0.00, -90277.79, 2048, 0, 2048, 271.00
92283, 95, 83.33, -55555.55, 2048, 0, 1964, 137.00
92286, 96, 833.33, 0.00, 2048, 0, 1214, 208.00
92289, 105, 916.67, 69444.45, 2048, 0, 1131, 131.00
92292, 123, 1583.33, 76388.89, 2048, 0, 464, 158.00
92295, 133, 2333.33, 125000.00, 2048, 0, -285, 120.00
92298, 134, 3083.33, 124999.99, 2048, 0, -1035, 469.00
92304, 152, 2416.67, 180555.55, 2048, 0, -368, 319.00
92307, 153, 1666.67, 97222.22, 2048, 0, 381, 241.00
92310, 153, 916.67, -27777.77, 2048, 0, 1131, 265.00
92313, 155, 833.33, -152777.77, 2048, 0, 1214, 332.00
92316, 159, 250.00, -131944.42, 2048, 0, 1798, 221.00
92319, 163, 500.00, -118055.55, 2048, 0, 1548, 231.00
92322, 170, 833.33, -34722.22, 2048, 0, 1214, 184.00
92325, 183, 1250.00, 0.01, 2048, 0, 798, 173.00
92328, 192, 2000.00, 83333.34, 2048, 0, 48, 162.00
92331, 202, 2416.67, 125000.00, 2048, 0, -368, 86.00
92334, 210, 2666.67, 131944.45, 2048, 0, -618, 284.00
92337, 215, 2250.00, 118055.57, 2048, 0, -202, 202.00
92340, 219, 1916.67, 20833.33, 2048, 0, 131, 0.00
92343, 220, 1416.67, -41666.68, 2048, 0, 631, 288.00
92346, 223, 833.33, -104166.67, 2048, 0, 1214, 291.00
92349, 227, 666.67, -118055.56, 2048, 0, 1381, 235.00
92352, 236, 666.67, -104166.66, 2048, 0, 1381, 220.00
92355, 246, 1333.33, -62500.01, 2048, 0, 714, 200.00
92358, 248, 1916.67, 41666.67, 2048, 0, 131, 140.00
92361, 272, 1750.00, 104166.67, 2048, 0, 298, 210.00
92364, 284, 3000.00, 90277.77, 2048, 0, -952, 62.00
92367, 294, 3166.67, 138888.89, 2048, 0, -1118, 524.00
92370, 299, 3833.33, 104166.67, 2048, 0, -1785, 407.00
92373, 302, 2250.00, 173611.13, 2048, 0, -202, 429.00
92376, 303, 1500.00, -62500.00, 2048, 0, 548, 0.00
92379, 303, 750.00, -138888.89, 2048, 0, 1298, 487.00
92382, 306, 333.33, -256944.44, 2048, 0, 1714, 455.00
92385, 309, 333.33, -159722.22, 2048, 0, 1714, 377.00
92388, 322, 500.00, -97222.22, 2048, 0, 1548, 385.00
92391, 335, 1583.33, -20833.33, 2048, 0, 464, 293.00
92394, 351, 2416.67, 104166.67, 2048, 0, -368, 0.00
92397, 365, 3500.00, 173611.13, 2048, 0, -1452, 502.00
92400, 371, 3583.33, 250000.00, 2048, 0, -1535, 513.00
92403, 375, 3000.00, 166666.67, 2048, 0, -952, 523.00
92406, 375, 2000.00, 48611.11, 2048, 0, 48, 0.00
92409, 375, 833.33, -125000.00, 2048, 0, 1214, 141.00
92412, 378, 333.33, -229166.69, 2048, 0, 1714, 151.00
92415, 378, 250.00, -222222.23, 2048, 0, 1798, 122.00
92418, 379, 250.00, -145833.34, 2048, 0, 1798, 72.00
92421, 381, 333.33, -48611.11, 2048, 0, 1714, 96.00
92424, 382, 250.00, 0.00, 2048, 0, 1798, 55.00
92427, 386, 333.33, 0.00, 2048, 0, 1714, 88.00
92430, 388, 583.33, 6944.45, 2048, 0, 1464, 42.00
92433, 392, 583.33, 20833.34, 2048, 0, 1464, 98.00
92436, 397, 833.33, 27777.78, 2048, 0, 1214, 43.00
92439, 402, 916.67, 41666.67, 2048, 0, 1131, 83.00
92442, 407, 1166.67, 27777.77, 2048, 0, 881, 48.00
92445, 413, 1250.00, 48611.11, 2048, 0, 798, 36.00
92448, 418, 1333.33, 34722.22, 2048, 0, 714, 51.00
92451, 424, 1333.33, 34722.22, 2048, 0, 714, 7.00
92454, 430, 1416.67, 13888.88, 2048, 0, 631, 55.00
92457, 436, 1416.67, 13888.88, 2048, 0, 631, 13.00
92460, 442, 1500.00, 6944.45, 2048, 0, 548, 60.00
92463, 447, 1500.00, 13888.90, 2048, 0, 548, 18.00
92466, 453, 1416.67, 6944.45, 2048, 0, 631, 70.00
92469, 458, 1416.67, 0.00, 2048, 0, 631, 25.00
92472, 464, 1333.33, -6944.45, 2048, 0, 714, 27.00
92475, 469, 1416.67, -13888.90, 2048, 0, 631, 30.00
92478, 475, 1333.33, 0.00, 2048, 0, 714, 9.00
92481, 481, 1416.67, -6944.45, 2048, 0, 631, 38.00
92484, 488, 1416.67, 6944.45, 2048, 0, 631, 4.00
92487, 496, 1583.33, 0.00, 2048, 0, 464, 49.00
92490, 503, 1750.00, 20833.33, 2048, 0, 298, 13.00
92493, 510, 1833.33, 27777.78, 2048, 0, 214, 69.00
92496, 518, 1833.33, 34722.22, 2048, 0, 214, 429.00
92499, 518, 1833.33, 20833.33, 2048, 0, 214, 352.00
92502, 542, 1250.00, 6944.44, 2048, 0, 798, 341.00
92508, 572, 2666.67, -48611.11, 2048, 0, -618, 0.00
92511, 590, 3250.00, 10416.68, 2048, 0, -1202, 548.00
92514, 605, 4750.00, 59027.78, 2048, 0, -2702, 522.00
92517, 612, 4000.00, 232638.89, 2048, 0, -1952, 531.00
92520, 612, 3333.33, 111111.11, 2048, 0, -1285, 513.00
92523, 612, 1833.33, 6944.44, 2048, 0, 214, 0.00
92526, 612, 583.33, -243055.56, 2048, 0, 1464, 502.00
92529, 615, 0.00, -284722.22, 2048, 0, 2048, 492.00
92535, 620, 250.00, -277777.75, 2048, 0, 1798, 402.00
92538, 639, 458.33, -142361.11, 2048, 0, 1589, 345.00
